Survived,Pclass,Family,Sex_male,Embarked_Q,Embarked_S,AgeRange_10-20,AgeRange_20-30,AgeRange_30-40,AgeRange_40-50,AgeRange_50-60,AgeRange_60-70,AgeRange_70-80,FareRange_Q2,FareRange_Q3,FareRange_Q4
1,2,3,0,0,1,0,0,0,1,0,0,0,0,1,0
0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0
0,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0
1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1
1,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
0,2,4,1,0,1,0,0,1,0,0,0,0,0,1,0
0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1
1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0
1,2,4,0,0,1,0,0,1,0,0,0,0,0,1,0
1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,2,2,1,0,1,0,0,1,0,0,0,0,0,1,0
0,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0
0,3,8,1,0,1,0,0,0,0,0,0,0,0,0,1
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
1,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0
1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1
1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,3,3,1,0,1,0,0,0,0,0,0,0,0,1,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,1
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0
0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0
0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,3,0,0,1,0,0,1,0,0,0,0,0,1,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,1,0
1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,1
1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1
0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0
1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,2,4,1,0,1,0,1,0,0,0,0,0,1,0,0
1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0
0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0
0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1
0,3,7,0,0,1,0,0,0,0,0,0,0,0,1,0
0,3,7,0,0,1,1,0,0,0,0,0,0,0,1,0
1,2,2,1,0,1,0,0,1,0,0,0,0,0,1,0
0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1
0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
1,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0
0,3,3,1,0,1,0,0,1,0,0,0,0,0,1,0
1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,1
1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1
0,2,1,1,0,1,0,1,0,0,0,0,0,0,1,0
1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1
1,3,2,0,0,1,0,0,1,0,0,0,0,0,1,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,3,3,1,0,1,0,1,0,0,0,0,0,0,1,0
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0,3,5,0,0,1,0,1,0,0,0,0,0,0,1,0
1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,2,1,1,0,1,0,0,0,0,0,1,0,1,0,0
1,1,3,0,0,1,0,0,0,0,1,0,0,0,0,1
1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0
1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1
1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,2,3,0,0,1,0,1,0,0,0,0,0,0,1,0
1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1
0,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1
0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0
1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,1
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,2,2,1,0,1,0,0,1,0,0,0,0,0,1,0
0,3,3,1,0,1,0,0,1,0,0,0,0,0,1,0
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1
1,2,4,0,0,1,0,1,0,0,0,0,0,0,1,0
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
0,3,2,1,0,1,0,0,1,0,0,0,0,1,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
0,3,7,0,0,1,0,0,1,0,0,0,0,0,1,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,2,4,0,0,1,0,1,0,0,0,0,0,0,0,1
0,3,3,1,0,1,0,0,1,0,0,0,0,1,0,0
0,3,2,0,0,1,0,1,0,0,0,0,0,0,1,0
1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0
1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1
1,3,3,1,0,0,1,0,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,1,0
0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
0,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
0,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
0,3,6,0,0,1,0,0,0,0,0,0,0,0,1,0
1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,2,3,1,0,1,0,0,1,0,0,0,0,0,1,0
0,3,6,0,0,1,0,0,0,1,0,0,0,0,0,1
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,6,0,0,1,0,0,0,0,0,0,0,0,1,0
1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0
0,3,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0,2,3,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0
0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1
0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0
0,2,3,1,0,1,0,0,1,0,0,0,0,0,0,1
0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
1,2,3,0,0,1,0,0,1,0,0,0,0,0,0,1
0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1
0,2,1,1,0,1,0,0,0,0,0,1,0,1,0,0
1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0
0,3,8,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0
0,3,8,1,0,1,1,0,0,0,0,0,0,0,0,1
0,2,3,1,0,1,0,0,0,0,1,0,0,0,0,1
0,2,4,1,0,0,0,1,0,0,0,0,0,0,0,1
0,3,6,1,0,1,1,0,0,0,0,0,0,0,0,1
0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1
1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1
1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
0,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
0,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0
0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0
0,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0
0,2,1,1,0,1,0,0,1,0,0,0,0,0,1,0
1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1
0,3,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0
0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0
0,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0
0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0
1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1
0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0
1,2,4,0,0,1,0,1,0,0,0,0,0,0,1,0
0,2,2,1,0,1,0,1,0,0,0,0,0,0,1,0
0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
0,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0
0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,1,0
0,3,5,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1
1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0
1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,1,3,1,0,1,0,0,0,0,0,1,0,0,0,1
0,3,3,1,0,1,1,0,0,0,0,0,0,0,1,0
1,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1
0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0
1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0
1,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,2,4,0,0,1,0,0,0,1,0,0,0,0,0,1
1,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1,4,0,0,1,0,0,1,0,0,0,0,0,0,1
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1
0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,2,5,0,0,1,0,0,0,0,1,0,0,0,1,0
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1
1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1
0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,3,6,1,1,0,0,0,0,0,0,0,0,0,1,0
1,3,4,1,0,1,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
0,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,3,3,0,0,1,0,1,0,0,0,0,0,0,1,0
0,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0
1,2,3,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1
1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0
1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0
1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,1,0
0,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0
0,3,7,0,0,1,0,0,0,0,0,0,0,0,1,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,1
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,3,6,1,0,1,0,0,0,0,0,0,0,0,1,0
1,1,3,0,0,1,0,0,0,0,1,0,0,0,0,1
1,3,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,3,2,0,0,1,0,1,0,0,0,0,0,1,0,0
0,3,6,1,0,1,0,0,0,0,0,0,0,0,0,1
1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0
1,2,3,1,0,1,0,0,0,0,0,0,0,0,1,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0
1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1
0,3,1,1,0,1,0,1,0,0,0,0,0,1,0,0
1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,1
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0,2,2,1,0,1,0,1,0,0,0,0,0,0,1,0
0,3,7,1,0,1,0,0,0,0,0,0,0,0,1,0
0,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0
0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1
0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0
1,3,2,0,0,1,1,0,0,0,0,0,0,1,0,0
1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
1,3,4,0,0,0,0,1,0,0,0,0,0,0,1,0
0,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0
0,2,2,1,0,1,0,1,0,0,0,0,0,1,0,0
1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
1,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,3,1,1,0,1,0,0,0,1,0,0,0,1,0,0
1,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0
1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0
0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1
1,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0
0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0
0,3,6,0,1,0,0,0,1,0,0,0,0,0,1,0
0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0
